name,modifiedlines
CassandraLoginModule.java,	2
ChunkCache.java,	2
AbstractReaderFileProxy.java,	2
MmapRebufferer.java,	2
StreamReceiveTask.java,	2
SSTableReversedIterator.java,	2
ReplicationAwareTokenAllocator.java,	2
Stress.java,	2
StreamReceiveTask.java,	2
ConnectionHandler.java,	2
ThriftServer.java,	2
GCInspector.java,	2
SSTableReader.java,	2
RangeTombstoneList.java,	2
LegacyMetadataSerializer.java,	2
ProposeCallback.java,	2
JavaUDF.java,	2
SinglePartitionReadCommand.java,	2
DatabaseDescriptor.java,	2
ReadCommand.java,	2
ApproximateTime.java,	2
TypeUtil.java,	2
StorageService.java,	2
LegacyJMXProgressSupport.java,	2
AbstractLocalAwareExecutorService.java,	2
ToJsonFct.java,	2
SelectionColumnMapping.java,	2
CreateTypeStatement.java,	2
DropViewStatement.java,	2
CompressedSegment.java,	2
View.java,	2
UserType.java,	2
PartitionIterator.java,	2
ViewBuilder.java,	2
View.java,	2
MemIndex.java,	2
LegacyMetadataSerializer.java,	2
IVerbHandler.java,	2
MessageIn.java,	2
LegacySchemaMigrator.java,	2
StorageProxy.java,	2
SSTableExport.java,	2
TableStatsHolder.java,	2
TpStatsHolder.java,	2
CLibrary.java,	2
Interval.java,	2
NanoTimeToCurrentTimeMillis.java,	2
ObjectSizes.java,	2
DynamicEndpointSnitchLongTest.java,	2
LargeCompactValueTest.java,	2
ThriftCompatibilityTest.java,	2
TermSelectionTest.java,	2
SliceTest.java,	2
MessagePayloadTest.java,	2
Operation.java,	2
PartitionOperation.java,	2
TokenRangeQuery.java,	2
CompactionManager.java,	2
CompactionManager.java,	2
RowIndexEntryTest.java,	2
CompactionManager.java,	2
AbstractBTreePartition.java,	2
BaseRowIterator.java,	2
BaseRows.java,	2
BatchCommitLogService.java,	2
Util.java,	2
CommitLogTestReplayer.java,	2
DateTieredCompactionStrategyOptions.java,	2
DynamicEndpointSnitch.java,	2
JsonTransformer.java,	2
SystemKeyspace.java,	2
HintsWriter.java,	2
SafeMemoryWriter.java,	2
MessageIn.java,	2
MessagingService.java,	2
CommitLogReader.java,	2
ResultSet.java,	2
CBUtil.java,	2
Message.java,	2
ProtocolException.java,	2
Server.java,	2
LeveledCompactionTask.java,	2
AbstractCompactionStrategy.java,	2
DateTieredCompactionStrategy.java,	2
Verifier.java,	2
SASIIndexBuilder.java,	2
BigTableScanner.java,	2
SelectionColumnMappingTest.java,	2
AbstractCompactionStrategy.java,	2
MockSchema.java,	2
ColumnFamilyStoreCQLHelper.java,	2
FailureDetector.java,	2
CQLSSTableWriterClientTest.java,	2
CQLSSTableWriterTest.java,	2
LegacySchemaMigrator.java,	2
AbstractBTreePartition.java,	2
CFMetaDataTest.java,	2
TTLExpiryTest.java,	2
DefsTest.java,	2
DataResolverTest.java,	2
StreamingTransferTest.java,	2
TableAttributes.java,	2
LZ4Compressor.java,	2
SSTableFormat.java,	2
OutboundTcpConnection.java,	2
SchemaKeyspace.java,	2
NativeTransportService.java,	2
StorageService.java,	2
TraceStateImpl.java,	2
HeapUtils.java,	2
Event.java,	2
Config.java,	2
Directories.java,	2
MemoryMappedSegment.java,	2
ViewManager.java,	2
MappedBuffer.java,	2
MetadataSerializer.java,	2
MmappedRegions.java,	2
RepairOption.java,	2
